\N	1	helps	188		\N	correlation
\N	1	helps	155		\N	correlation
\N	1	helps	164		\N	correlation
\N	1	helps	183		\N	correlation
\N	1	helps	199		\N	correlation
\N	1	helps	42		\N	correlation
\N	1	helps	146		\N	correlation
\N	1	hurts	120		\N	correlation
\N	1	hurts	152		\N	correlation
\N	1	hurts	156		\N	correlation
\N	1	helps	150		\N	correlation
\N	1	helps	214		\N	correlation
\N	5	helps	8		\N	correlation
\N	5	helps	111		\N	correlation
\N	5	helps	113		\N	correlation
\N	5	helps	152		\N	correlation
\N	5	helps	126		\N	correlation
\N	5	helps	128		\N	correlation
\N	119	helps	20		\N	correlation
\N	28	helps	76		\N	correlation
\N	28	hurts	201		\N	correlation
\N	159	helps	45		\N	correlation
\N	159	hurts	178		\N	correlation
\N	56	helps	227		\N	correlation
\N	83	helps	189		\N	correlation
\N	83	helps	172		\N	correlation
\N	83	helps	74		\N	correlation
\N	83	helps	47		\N	correlation
\N	83	helps	50		\N	correlation
\N	16	helps	12		\N	correlation
\N	16	helps	15		\N	correlation
\N	16	helps	113		\N	correlation
\N	16	helps	131		\N	correlation
\N	16	helps	188		\N	correlation
\N	213	helps	111		\N	correlation
\N	213	hurts	152		\N	correlation
\N	140	helps	131		\N	correlation
\N	198	hurts	178		\N	correlation
\N	75	helps	36		\N	correlation
\N	75	helps	81		\N	correlation
\N	75	hurts	178		\N	correlation
\N	154	helps	131		\N	correlation
\N	154	helps	164		\N	correlation
\N	154	helps	146		\N	correlation
\N	154	hurts	155		\N	correlation
\N	41	helps	100		\N	correlation
\N	41	helps	131		\N	correlation
\N	41	hurts	111		\N	correlation
\N	23	helps	152		\N	correlation
\N	23	helps	155		\N	correlation
\N	23	helps	12		\N	correlation
\N	23	helps	15		\N	correlation
\N	167	helps	45		\N	correlation
\N	167	helps	100		\N	correlation
\N	167	helps	149		\N	correlation
\N	167	helps	51		\N	correlation
\N	167	hurts	183		\N	correlation
\N	167	hurts	214		\N	correlation
\N	105	helps	196		\N	correlation
\N	105	helps	137		\N	correlation
\N	105	helps	104		\N	correlation
\N	105	hurts	155		\N	correlation
\N	9	helps	6		\N	correlation
\N	9	helps	152		\N	correlation
\N	9	helps	155		\N	correlation
\N	9	hurts	183		\N	correlation
\N	9	hurts	150		\N	correlation
\N	9	hurts	152		\N	correlation
\N	9	hurts	181		\N	correlation
\N	9	hurts	149		\N	correlation
\N	9	hurts	69		\N	correlation
\N	21	helps	131		\N	correlation
\N	21	helps	178		\N	correlation
\N	11	helps	113		\N	correlation
\N	14	helps	113		\N	correlation
\N	110	helps	172		\N	correlation
\N	110	helps	189		\N	correlation
\N	110	hurts	146		\N	correlation
\N	110	hurts	150		\N	correlation
\N	110	hurts	183		\N	correlation
\N	157	helps	224		\N	correlation
\N	157	helps	53		\N	correlation
\N	157	helps	57		\N	correlation
\N	157	helps	131		\N	correlation
\N	157	hurts	155		\N	correlation
\N	157	hurts	152		\N	correlation
\N	94	helps	201		\N	correlation
\N	94	helps	156		\N	correlation
\N	94	hurts	224		\N	correlation
\N	94	hurts	155		\N	correlation
\N	94	hurts	125		\N	correlation
\N	94	hurts	45		\N	correlation
\N	227	helps	224		\N	correlation
\N	227	helps	47		\N	correlation
\N	227	helps	50		\N	correlation
\N	227	helps	57		\N	correlation
\N	227	helps	53		\N	correlation
\N	227	helps	45		\N	correlation
\N	227	helps	150		\N	correlation
\N	227	hurts	188		\N	correlation
\N	227	hurts	120		\N	correlation
\N	227	hurts	172		\N	correlation
\N	177	helps	172		\N	correlation
\N	177	helps	210		\N	correlation
\N	177	helps	208		\N	correlation
\N	177	helps	111		\N	correlation
\N	177	helps	188		\N	correlation
\N	177	hurts	53		\N	correlation
\N	177	hurts	227		\N	correlation
\N	220	helps	131		\N	correlation
\N	220	helps	111		\N	correlation
\N	220	helps	36		\N	correlation
\N	220	helps	134		\N	correlation
\N	220	helps	47		\N	correlation
\N	220	helps	50		\N	correlation
\N	220	hurts	146		\N	correlation
\N	220	hurts	155		\N	correlation
\N	187	helps	224		\N	correlation
\N	187	helps	51		\N	correlation
\N	187	helps	45		\N	correlation
\N	187	helps	53		\N	correlation
\N	97	helps	189		\N	correlation
\N	184	helps	146		\N	correlation
\N	184	helps	108		\N	correlation
\N	184	helps	224		\N	correlation
\N	184	helps	8		\N	correlation
\N	184	hurts	152		\N	correlation
\N	184	hurts	155		\N	correlation
\N	30	helps	131		\N	correlation
\N	33	helps	131		\N	correlation
\N	115	helps	12		\N	correlation
\N	115	helps	15		\N	correlation
\N	115	hurts	181		\N	correlation
\N	107	helps	137		\N	correlation
\N	107	helps	104		\N	correlation
\N	107	helps	108		\N	correlation
\N	107	helps	74		\N	correlation
\N	107	hurts	155		\N	correlation
\N	165	helps	224		\N	correlation
\N	229	helps	76		\N	correlation
\N	229	helps	12		\N	correlation
\N	229	helps	15		\N	correlation
\N	229	helps	152		\N	correlation
\N	229	helps	201		\N	correlation
\N	229	helps	208		\N	correlation
\N	229	hurts	155		\N	correlation
\N	145	helps	152		\N	correlation
\N	145	helps	45		\N	correlation
\N	145	helps	224		\N	correlation
\N	145	hurts	155		\N	correlation
\N	145	hurts	181		\N	correlation
\N	145	hurts	8		\N	correlation
\N	130	helps	155		\N	correlation
\N	130	hurts	152		\N	correlation
\N	130	hurts	156		\N	correlation
\N	130	hurts	113		\N	correlation
\N	130	hurts	150		\N	correlation
\N	135	helps	81		\N	correlation
\N	135	helps	134		\N	correlation
\N	135	helps	36		\N	correlation
\N	135	helps	189		\N	correlation
\N	135	hurts	155		\N	correlation
\N	103	helps	74		\N	correlation
\N	103	helps	51		\N	correlation
\N	103	helps	134		\N	correlation
\N	103	helps	206		\N	correlation
\N	147	helps	224		\N	correlation
\N	147	helps	45		\N	correlation
\N	147	helps	53		\N	correlation
\N	147	helps	51		\N	correlation
\N	147	helps	69		\N	correlation
\N	147	hurts	150		\N	correlation
\N	147	hurts	42		\N	correlation
\N	147	hurts	155		\N	correlation
\N	65	helps	54		\N	correlation
\N	171	helps	108		\N	correlation
\N	171	helps	137		\N	correlation
\N	162	helps	189		\N	correlation
\N	162	hurts	54		\N	correlation
\N	162	hurts	227		\N	correlation
\N	162	hurts	53		\N	correlation
\N	209	helps	53		\N	correlation
\N	209	helps	176		\N	correlation
\N	209	helps	126		\N	correlation
\N	209	helps	128		\N	correlation
\N	209	hurts	155		\N	correlation
\N	209	hurts	54		\N	correlation
\N	209	hurts	227		\N	correlation
\N	209	hurts	53		\N	correlation
\N	4	helps	5		\N	correlation
\N	4	helps	154		\N	correlation
\N	4	hurts	67		\N	correlation
\N	66	hurts	1		\N	correlation
\N	44	helps	227		\N	correlation
\N	153	helps	23		\N	correlation
\N	153	hurts	9		\N	correlation
\N	153	hurts	229		\N	correlation
\N	153	hurts	71		\N	correlation
\N	90	helps	97		\N	correlation
\N	43	helps	1		\N	correlation
\N	43	helps	220		\N	correlation
\N	43	hurts	213		\N	correlation
\N	43	hurts	110		\N	correlation
\N	43	hurts	9		\N	correlation
